Date,120GB SATA 6 Gb/s_Forecast,120GB SATA 6 Gb/s_CI_Lo_80,120GB SATA 6 Gb/s_CI_Hi_80,120GB SATA 6 Gb/s_CI_Lo_95,120GB SATA 6 Gb/s_CI_Hi_95,1TB PCIe Gen3 x4_Forecast,1TB PCIe Gen3 x4_CI_Lo_80,1TB PCIe Gen3 x4_CI_Hi_80,1TB PCIe Gen3 x4_CI_Lo_95,1TB PCIe Gen3 x4_CI_Hi_95,1TB PCIe Gen4 x4_Forecast,1TB PCIe Gen4 x4_CI_Lo_80,1TB PCIe Gen4 x4_CI_Hi_80,1TB PCIe Gen4 x4_CI_Lo_95,1TB PCIe Gen4 x4_CI_Hi_95,1TB PCIe Gen5 x4_Forecast,1TB PCIe Gen5 x4_CI_Lo_80,1TB PCIe Gen5 x4_CI_Hi_80,1TB PCIe Gen5 x4_CI_Lo_95,1TB PCIe Gen5 x4_CI_Hi_95,1TB SATA 6 Gb/s_Forecast,1TB SATA 6 Gb/s_CI_Lo_80,1TB SATA 6 Gb/s_CI_Hi_80,1TB SATA 6 Gb/s_CI_Lo_95,1TB SATA 6 Gb/s_CI_Hi_95,240GB SATA 6 Gb/s_Forecast,240GB SATA 6 Gb/s_CI_Lo_80,240GB SATA 6 Gb/s_CI_Hi_80,240GB SATA 6 Gb/s_CI_Lo_95,240GB SATA 6 Gb/s_CI_Hi_95,250GB PCIe Gen3 x4_Forecast,250GB PCIe Gen3 x4_CI_Lo_80,250GB PCIe Gen3 x4_CI_Hi_80,250GB PCIe Gen3 x4_CI_Lo_95,250GB PCIe Gen3 x4_CI_Hi_95,250GB SATA 6 Gb/s_Forecast,250GB SATA 6 Gb/s_CI_Lo_80,250GB SATA 6 Gb/s_CI_Hi_80,250GB SATA 6 Gb/s_CI_Lo_95,250GB SATA 6 Gb/s_CI_Hi_95,256GB PCIe Gen3 x4_Forecast,256GB PCIe Gen3 x4_CI_Lo_80,256GB PCIe Gen3 x4_CI_Hi_80,256GB PCIe Gen3 x4_CI_Lo_95,256GB PCIe Gen3 x4_CI_Hi_95,256GB SATA 6 Gb/s_Forecast,256GB SATA 6 Gb/s_CI_Lo_80,256GB SATA 6 Gb/s_CI_Hi_80,256GB SATA 6 Gb/s_CI_Lo_95,256GB SATA 6 Gb/s_CI_Hi_95,2TB PCIe Gen3 x4_Forecast,2TB PCIe Gen3 x4_CI_Lo_80,2TB PCIe Gen3 x4_CI_Hi_80,2TB PCIe Gen3 x4_CI_Lo_95,2TB PCIe Gen3 x4_CI_Hi_95,2TB PCIe Gen4 x4_Forecast,2TB PCIe Gen4 x4_CI_Lo_80,2TB PCIe Gen4 x4_CI_Hi_80,2TB PCIe Gen4 x4_CI_Lo_95,2TB PCIe Gen4 x4_CI_Hi_95,2TB PCIe Gen5 x4_Forecast,2TB PCIe Gen5 x4_CI_Lo_80,2TB PCIe Gen5 x4_CI_Hi_80,2TB PCIe Gen5 x4_CI_Lo_95,2TB PCIe Gen5 x4_CI_Hi_95,2TB SATA 6 Gb/s_Forecast,2TB SATA 6 Gb/s_CI_Lo_80,2TB SATA 6 Gb/s_CI_Hi_80,2TB SATA 6 Gb/s_CI_Lo_95,2TB SATA 6 Gb/s_CI_Hi_95,480GB SATA 6 Gb/s_Forecast,480GB SATA 6 Gb/s_CI_Lo_80,480GB SATA 6 Gb/s_CI_Hi_80,480GB SATA 6 Gb/s_CI_Lo_95,480GB SATA 6 Gb/s_CI_Hi_95,4TB PCIe Gen5 x4_Forecast,4TB PCIe Gen5 x4_CI_Lo_80,4TB PCIe Gen5 x4_CI_Hi_80,4TB PCIe Gen5 x4_CI_Lo_95,4TB PCIe Gen5 x4_CI_Hi_95,4TB SATA 6 Gb/s_Forecast,4TB SATA 6 Gb/s_CI_Lo_80,4TB SATA 6 Gb/s_CI_Hi_80,4TB SATA 6 Gb/s_CI_Lo_95,4TB SATA 6 Gb/s_CI_Hi_95,500GB PCIe Gen3 x4_Forecast,500GB PCIe Gen3 x4_CI_Lo_80,500GB PCIe Gen3 x4_CI_Hi_80,500GB PCIe Gen3 x4_CI_Lo_95,500GB PCIe Gen3 x4_CI_Hi_95,500GB SATA 6 Gb/s_Forecast,500GB SATA 6 Gb/s_CI_Lo_80,500GB SATA 6 Gb/s_CI_Hi_80,500GB SATA 6 Gb/s_CI_Lo_95,500GB SATA 6 Gb/s_CI_Hi_95,512GB PCIe Gen3 x4_Forecast,512GB PCIe Gen3 x4_CI_Lo_80,512GB PCIe Gen3 x4_CI_Hi_80,512GB PCIe Gen3 x4_CI_Lo_95,512GB PCIe Gen3 x4_CI_Hi_95,512GB SATA 6 Gb/s_Forecast,512GB SATA 6 Gb/s_CI_Lo_80,512GB SATA 6 Gb/s_CI_Hi_80,512GB SATA 6 Gb/s_CI_Lo_95,512GB SATA 6 Gb/s_CI_Hi_95
2026-05-01,105.6118168563011,94.3989999207845,116.8246337918177,88.44219092379132,122.78144278881089,206.5750242176964,178.32504805390934,234.82500038148348,163.31724821689747,249.83280021849535,237.908254681573,203.64950401563257,272.1670053475134,185.44954272435174,290.3669666387943,263.1572698371699,239.71996322444522,286.5945764498946,227.26889408643524,299.0456455879046,261.57659666319574,225.66176737972762,297.49142594666387,206.5820143228852,316.5711790035063,87.44894252826224,75.67708575023437,99.2207993062901,69.42328683690707,105.4745982196174,136.83353079852625,120.91303440869328,152.75402718835923,112.4552707015945,161.211790895458,107.87967979135115,96.78898342004747,118.97037616265483,90.89705097279239,124.86230860990992,71.90152123932589,63.80443368114371,79.99860879750807,59.502855915859435,84.30018656279233,75.74032713947122,68.76841621379661,82.71223806514583,65.06458853453199,86.41606574441045,341.86905987647026,301.3879084828858,382.35021127005473,279.8822968050441,403.8558229478964,395.9781080872401,340.770179263753,451.18603691072724,311.44096707627546,480.5152490982048,475.8908286968071,431.1839428285812,520.5977145650329,407.43340971108626,544.3482476825279,407.3872226791168,354.2758640160934,460.4985813421402,326.06045472636225,488.71399063187135,187.45770817466115,166.09174424476817,208.82367210455413,154.74107590701254,220.17434044230976,968.8521999712805,885.2409560137152,1052.463443928846,840.8224826612586,1096.8819172813023,720.3404835680611,628.941374317345,811.7395928187773,580.385597527902,860.2953696082203,197.61364838295037,173.44432250067575,221.782974265225,160.60436812571734,234.6229286401834,170.38057359313612,149.5548657192075,191.20628146706474,138.4912084111829,202.26993877508934,114.93061314247697,101.42763901437209,128.43358727058185,94.25418400881638,135.60704227613758,103.72914803458232,88.99933643363983,118.45895963552482,81.17412402063911,126.28417204852553
2026-06-01,102.7170054633591,86.85968768074481,118.57432324597339,78.43548760873097,126.99852331798724,204.05707968498396,164.1055802574396,244.0085791125283,142.8813461865567,265.2328131834112,241.60738161609734,193.1581917943661,290.0565714378286,167.41955970157136,315.7952035306233,270.3487654866586,237.2034086094467,303.4941223638704,219.5949377684279,321.1025932048892,278.3128628704973,227.52162420750233,329.1041015334923,200.53877866778623,356.0869470732084,89.40858977666423,72.76067026686357,106.05650928646489,63.91646302728198,114.90071652604648,143.37911615000993,120.86413423579623,165.89409806422364,108.9030500938702,177.85518220614966,109.7038531069751,94.01923988251536,125.38846633143484,85.68678910702113,133.72091710692908,71.85016933402937,60.399158293525694,83.30118037453306,54.315808678258115,89.38452998980063,75.09087929217725,65.23110830543106,84.95065027892343,59.993104968722164,90.18865361563233,337.9518518462335,280.7028585249479,395.20084516751916,250.2893308230149,425.61437286945215,405.0441514464569,326.96834975375293,483.1199531391609,285.4905801045039,524.5977227884099,507.14376462411684,443.9186802978058,570.368848950428,410.330354249453,603.9571749987806,431.97522603139885,356.86442229408937,507.08602976870833,316.96180780864375,546.988644254154,186.93887206397315,156.72283610114414,217.15490802680216,140.67056699589125,233.20717713205505,1060.2169872753466,941.9728321036722,1178.461142447021,879.1556246687202,1241.278349881973,739.5624388191497,610.3045789279668,868.8202987103327,541.6363408607757,937.4885367775238,207.67717719953032,173.49658874340247,241.85776565565817,155.33815112608454,260.0162032729761,179.0280484366453,149.57604991531525,208.48004695797533,133.9296757008587,224.1264211724319,114.32992026348174,95.2338311191428,133.4260094078207,85.08903376121275,143.57080676575075,103.35785333271963,82.52675399546618,124.18895266997308,71.4602324725503,135.25547419288895
2026-07-01,109.08707907877788,89.66591045049438,128.50824770706137,79.34841461671877,138.82574354083698,200.50371830900895,151.57332428072002,249.43411233729788,125.57905245319154,275.42838416482635,242.98007394389646,183.64217718665356,302.31797070113936,152.11891953436827,333.84122835342464,274.3571923888058,233.76258654299664,314.95179823461496,212.19670218741052,336.51768259020105,291.67751462532055,229.47120556119123,353.88382368944986,196.42410387087253,386.9309253797686,90.45715821936187,70.06770418039355,110.8466122583302,59.235806722191626,121.67850971653212,149.15915411465525,121.58404548574764,176.73426274356285,106.93476902664048,191.38353920267002,111.15557966216247,91.94593005574471,130.3652292685802,81.74080370233528,140.57035562198965,71.50058299585702,57.47601595175168,85.52515003996236,50.02546470957071,92.97570128214332,74.04237973090372,61.96667578179075,86.1180836800167,55.55145805882448,92.53330140298296,332.4635956977663,262.34818473519044,402.5790066603422,225.09937266132198,439.82781873421067,410.10195889525227,314.4790211923263,505.72489659817825,263.6793355376469,556.5245822528576,525.9791094894929,448.54451171754266,603.413707261443,407.40738165119416,644.5508373277917,452.6512973470665,360.65972568369654,544.6428690104365,311.7892032375313,593.5133914566017,188.64586436107203,151.6389292818134,225.65279944033065,131.97899502095726,245.3127337011868,1137.2663055637422,992.4473829452028,1282.0852281822818,915.5123303041037,1359.0202808233807,749.3126111802434,591.0047101914644,907.6205121690224,506.90363779117547,991.7215845693113,217.17506276951974,175.3125623567306,259.0375631823089,153.07310901243636,281.2770165266031,187.6094203075687,151.5382361663371,223.68060444880032,132.3754195913078,242.84342102382962,114.36492076750196,90.97708352433625,137.75275801066766,78.55229498890446,150.17754654609945,102.52575845781669,77.01297637906681,128.0385405365666,63.459310899730944,141.59220601590243
2026-08-01,115.84778231738295,93.42214844634977,138.27341618841615,81.50853045236337,150.18703418240253,196.54813920370424,140.0481868761301,253.04809153127837,110.03258720210634,283.0636912053021,242.7475346119852,174.23003328010435,311.26503594386605,137.8301106975427,347.6649585264277,275.22364507912414,228.34903185367477,322.0982583045735,203.44689357765483,347.0003965805935,302.5334406026609,230.70378203572466,374.36309916959715,192.5442759220398,412.522605283282,91.9523974244946,68.40868386843889,115.49611098055033,55.901086041784275,128.00370880720493,155.44983365444313,123.60884087477716,187.29082643410908,106.69331346057962,204.20635384830663,112.32713722598011,90.14574448337275,134.50852996858748,78.36187958886259,146.29239486309763,71.00387971213475,54.8097045957704,87.1980548284991,46.20654906520184,95.80121035906765,72.80917725415394,58.86535540280474,86.75299910550314,51.45770004427547,94.1606544640324,326.91512996432954,245.95282717716066,407.8774327514984,202.9416038214772,450.8886561071819,412.94957182242075,302.5337141754465,523.3654294693949,243.87528980049146,582.02385384435,539.8646270469936,450.45085531054195,629.2783987834454,402.94978907555196,676.7794650184353,470.49085111925933,364.26813379321254,576.7135684453061,307.83731521375023,633.1443870247684,187.401145149885,144.66921729009906,230.13307300967094,121.96788061458777,252.8344096851822,1201.5328623406485,1034.310374425518,1368.7553502557791,945.4734277206047,1457.5922969606922,749.8509910956384,567.052772594206,932.6492095970708,469.9412190153201,1029.7607631759568,226.07849421609043,177.73984245154116,274.4171459806397,152.05993370162437,300.09705473055647,196.38612466873957,154.7347089208823,238.03754041659684,132.60739430483312,260.164855032646,114.48087655855511,87.47492830234535,141.48682481476487,73.12801829123393,155.8337348258763,100.9110346485301,71.4514114466451,130.3706578504151,55.80098662064369,146.0210826764165
2026-09-01,120.5188122231142,95.44619133603821,145.59143311019017,82.1263614897791,158.9112629564493,192.5787293414888,129.40986227651217,255.74759640646545,95.85140164824337,289.30605703473424,241.4863802608388,164.88148494757985,318.0912755740978,124.18513431241104,358.7876262092666,274.35553348865955,221.94812269310182,326.76294428421727,194.1066857079618,354.6043812693573,313.0918811736079,232.78388149547308,393.39988085174264,190.12025666646397,436.06350568075175,93.04998627846655,66.72731430140459,119.3726582555285,52.74339481359043,133.35657774334265,162.32202865866827,126.72271649546173,197.92134082187482,107.81058190875825,216.8334754085783,113.31074662822985,88.51119562418458,138.11029763227512,75.33643415328552,151.28505910317418,70.30964235677072,52.2040041569076,88.41528055663385,42.58538386323032,98.03390085031113,71.45736369444214,55.867696931560246,87.04703045732403,47.58568646377924,95.32904092510503,320.91148027607426,230.3928739525591,411.4300865995894,182.3048643431917,459.5180962089568,414.6215381820475,291.1728564357603,538.0702199283347,225.59074425804528,603.6523321060497,544.0480820642808,444.08044620060315,644.0157179279586,390.97263964802437,697.1235244805373,485.62526297928605,366.86465463139336,604.3858713271787,303.7730814465754,667.4774445119967,185.6519851749895,137.87623742294028,233.42773292703873,112.49537142966412,258.8085989203149,1246.0800148425885,1059.1195896701538,1433.0404400150233,959.796863797298,1532.363165887879,748.1195466589171,543.7449252913858,952.4941680264484,435.1709076898848,1061.0681856279493,234.6230685545689,180.57881291145773,288.66732419768005,151.86780210105493,317.3783350080829,205.45415096732745,158.8864524816704,252.0218494529845,134.1473626611651,276.76093927348984,114.38517792796605,84.1916098791026,144.5787459768295,68.15127685314388,160.61907900278823,99.19950791695169,66.26264788147924,132.13636795242414,48.7649409876345,149.63407484626887
2026-10-01,125.33452412359432,97.86884405234092,152.8002041948477,83.27770151448755,167.3913467327011,188.88346437391976,119.68543752685407,258.08149122098547,82.92398576435042,294.84294298348914,239.60251549379333,155.68605713700595,323.5189738505807,111.10543863496261,368.0995923526241,272.27694290435807,214.86750075802462,329.6863850506915,184.36873461778498,360.18515119093115,323.12107362077666,235.14806767711258,411.09407956444073,188.41240826954103,457.82973897201225,93.88514179888169,65.05009936758981,122.72018423017357,49.731483075966,138.03880052179738,169.69291424768198,130.69582164076948,208.6900068545945,109.97861619334722,229.40721230201675,114.15904301822047,86.9924960163895,141.32559002005144,72.56026792166679,155.75781811477415,69.5375257539349,49.70379283375038,89.37125867411942,39.16712221990235,99.90792928796745,70.13246311051732,53.05483881047941,87.21008741055523,43.982350901084274,96.28257531995037,315.62917498277517,216.47100986813712,414.7873400974132,163.79323465098568,467.4651153145646,415.50836926335694,280.27711388992145,550.7396246367924,208.4355094727839,622.58122905393,543.5911220362923,434.0820636702949,653.1001804022897,375.9053764133588,711.2768676592258,498.54251174570817,368.44678347535387,628.6382400160625,299.33342783172816,697.7515956596882,183.78644684223264,131.45073735128443,236.12215633318084,103.64739168421822,263.92550200024704,1270.5971258307568,1065.7922413753586,1475.402010286155,956.9896465084282,1584.2046051530854,742.985077055607,519.1038964464586,966.8662576647554,400.16701924784854,1085.8031348633654,242.95968746921443,183.75717163059872,302.1622033078301,152.30583509133413,333.6135398470947,215.04408210861277,164.03172428522572,266.0564399319998,136.93140919155132,293.1567550256742,113.9600020111306,80.88460538727108,147.03539863499012,63.31330093084571,164.60670309141548,97.33915416940289,61.25863173976557,133.4196765990402,42.09085419902074,152.58745413978505
2026-11-01,130.8373184174827,101.17099330961241,160.50364352535297,85.41075809605633,176.26387873890906,185.58351184052225,110.84110036763917,260.3259233134053,71.13419427267004,300.0328294083745,237.31652857970246,146.6763940898557,327.9566630695492,98.5238226421246,376.10923451728036,269.33766537514697,207.32838067670787,331.3469500735861,174.3859481806621,364.2893825696318,332.13199201220374,237.110285348807,427.1536986756005,186.63000368387748,477.63398034053,94.2262820675249,63.0808765633931,125.37168757165671,46.53487988932307,141.91768424572675,177.81182496125328,135.6901507650536,219.93349915745296,113.3130113483225,242.31063857418405,114.89668121181396,85.55345674681794,144.23990567680997,69.96486874978882,159.8284936738391,68.74656231033708,47.32368228747181,90.16944233320235,35.94277727532464,101.55034734534954,68.96118589283506,50.51524342060594,87.40712836506418,40.715836482234224,97.2065353034359,310.95838521906325,203.85532584608302,418.0614445920435,146.9568255541873,474.9599448839392,415.69955805662187,269.6331079907202,561.7660081225235,192.03530639320996,639.3638097200337,537.5653876489902,419.2820857495166,655.8486895484638,356.4440816154213,718.686693682559,509.48673630920837,368.9672894940925,650.0061831243243,294.3163333735622,724.6571392448545,182.54538497171194,126.01635789203885,239.07441205138502,95.98531225596253,269.10545768746135,1271.424424418088,1050.209866097618,1492.6389827385578,932.6896319898685,1610.1592168463073,736.9136378557005,495.09432472548235,978.7329509859186,366.62781462505393,1107.1994610863471,251.21146507419056,187.2654394336151,315.157490714766,153.29411331205938,349.12881683632173,225.42770286919696,170.3280589579021,280.5273467804918,141.0563731300267,309.7990326083672,113.24240062348284,77.5168891207781,148.96791212618757,58.53771113496622,167.94709011199944,95.49421116333534,56.52279280840729,134.46562951826337,35.81922680735177,155.16919551931892
2026-12-01,136.59220367844296,104.87756811321437,168.30683924367153,88.02916796918669,185.15523938769923,182.65853656898426,102.75553771389559,262.56153542407293,60.307069572129734,305.0100035658388,234.69209864341838,137.7937189999559,331.59047828688085,86.31645481436644,383.0677424724703,266.30784299355105,200.0171292391273,332.5985567479748,164.8001875570897,367.8154984300124,340.0538673878872,238.47139006189715,441.6363447138772,184.50569898246496,495.60203579330937,94.6717554075239,61.3759163879226,127.9675944271252,43.68750190875941,145.6560089062884,186.84556116758225,141.81559733915486,231.87552499600963,117.89342905530279,255.7976932798617,115.52496738350176,84.15574093458228,146.89419383242122,67.49083938359382,163.5590953834097,67.94054035983265,45.03851827882529,90.84256244084001,32.871819048290135,103.00926167137517,67.98247196104276,48.2629299875504,87.70201393453513,37.786923314132586,98.17802060795293,307.1230994271574,192.62511278458612,421.6210860697287,131.79805738072014,482.44814147359466,415.1068669474613,258.9552635620533,571.2584703328694,175.9997242635553,654.2140096313673,529.9949831249492,403.54481447232706,656.4451517775713,336.3681623756215,723.6218038742768,518.6963858681796,368.47477839356065,668.9179933427986,288.66954942266943,748.7232223136898,181.34168989927025,120.90961797361226,241.77376182492824,88.80507976310645,273.87830003543405,1249.0177184947668,1012.529408151418,1485.5060288381155,886.894993281514,1611.1404437080196,731.5339323021487,473.01821251978265,990.0496520845148,335.68173638540065,1127.3861282188968,259.45139406275547,191.09021715049974,327.8125709750112,154.7733419158639,364.129446209647,236.7982671057301,177.89427006307005,295.70226414839016,146.60152163415688,326.9950125773033,112.33788121390086,74.14570292522299,150.53005950257872,53.856108209362866,170.81965421843884,93.84688943121787,52.18469075671099,135.50908810572474,30.051647710879216,157.64213115155653
2027-01-01,142.63350980029486,108.99505899374508,176.27196060684463,91.12463200276551,194.1423875978242,179.98779768788572,95.23786919652451,264.7377261792469,50.214469685488865,309.7611256902826,231.69547452395904,128.9192225261378,334.4717265217803,74.31933865229527,389.07161039562277,263.21948468054643,192.9075648423724,333.5314045187205,155.55435742834248,370.8846119327504,347.1154172873804,239.37092943697604,454.8599051377848,182.13167026644874,512.0991643083121,95.04511392300346,59.72954358891987,130.36068425708703,40.968146848937955,149.12208099706896,196.9032711591546,149.14178198965567,244.66476032865353,123.76849086835934,270.0380514499499,116.02571141051754,82.75362229660651,149.29780052442857,65.07782495484128,166.9735978661938,67.13625042892778,42.844987754381265,91.4275131034743,29.940254458528422,104.33224639932715,67.15812409792298,46.24239132089917,88.07385687494678,35.130908283105285,99.18533991274067,303.6760411908491,182.2325870100958,425.1194953716024,117.7157519765706,489.63633040512764,413.51169402831476,247.88790755785342,579.1354804987761,159.90027099542084,667.1231170612086,521.7714756246263,387.65081801994876,655.8921332293039,316.39921866746386,727.1437325817888,526.2965713062127,366.96249531714255,685.6306472952829,282.31626744794903,770.2768751644765,180.13009388389952,116.0322020942206,244.22798567357844,81.98019708095367,278.2799906868454,1203.2626410170358,952.4289091443397,1454.0963728897318,819.17348908697,1587.3517929471016,725.9905167491397,451.79318899699115,1000.1878445012883,306.12585862866223,1145.8551748696173,267.71785557211103,195.20987792528712,340.22583321893495,156.69001480041192,378.74569634381015,249.2982273536557,186.8211037318698,311.7753509754416,153.63013180779603,344.9663228995154,111.31773689199662,70.80881450768199,151.82665927631126,49.288449491014845,173.3470242929784,92.36412734383886,48.174692541011346,136.55356214666637,24.699055302009242,160.02919938566848
2027-02-01,149.19387243452303,113.73583193178123,184.65191293726483,94.89874791469967,203.4889969543464,177.41397036500962,88.07970184197656,266.7482388880427,40.62087168911523,314.207069040904,228.27142349330012,119.93574159711814,336.6071053894821,62.38241058977147,394.1604363968288,260.11598656463985,186.000715448704,334.2312576805757,146.62697766836305,373.60499546091665,353.49958690172065,239.92692458984828,467.072249213593,179.59144773666608,527.4077260667752,95.34121516374634,58.11533545588711,132.56709487160558,38.3390868610869,152.34334346640577,208.13450502779983,157.78947495543966,258.47953510016,131.0436777294983,285.22533232610135,116.37132789422128,81.29946652353715,151.4431892649054,62.6675401703612,170.07511561808136,66.3136010557653,40.70836195809848,91.91884015343213,27.10557868746298,105.52162342406763,66.40314063549702,44.35602246655239,88.45025880444166,32.643490939300555,100.16279033169349,300.4006970489081,172.38805633908197,428.41333775873426,104.38134096198684,496.4200531358294,410.68072782403897,236.09792784135968,585.2635278067182,143.35081535056133,678.0106402975166,516.0600413624821,374.6844549256941,657.4356277992702,299.57867463115053,732.5414080938137,532.3673457027992,364.41448270153,700.3202087040684,275.1895242321057,789.5451671734927,178.87935726324412,111.31424683978017,246.44446768670807,75.42028192731495,282.3384325991733,1137.2088410962162,872.8068721903189,1401.6108100021136,732.343326209061,1542.0743559833713,720.7249629206455,431.69560157781655,1009.7543242634744,278.14875336443873,1163.3011724768521,276.03378433728267,199.6036650384362,352.46390363612915,159.000164160924,393.06740451364135,263.06594495717076,197.2092741902535,328.922615724088,162.22291784532874,363.90897206901275,110.18393886615341,67.48378543501576,152.88409229729106,44.79932892472388,175.56854880758294,91.02824618143131,44.44849201728181,137.60800034558082,19.70299761757738,162.35349474528525
