Date,120GB_Forecast,120GB_CI_Lo_80,120GB_CI_Hi_80,120GB_CI_Lo_95,120GB_CI_Hi_95,1TB_Forecast,1TB_CI_Lo_80,1TB_CI_Hi_80,1TB_CI_Lo_95,1TB_CI_Hi_95,240GB_Forecast,240GB_CI_Lo_80,240GB_CI_Hi_80,240GB_CI_Lo_95,240GB_CI_Hi_95,250GB_Forecast,250GB_CI_Lo_80,250GB_CI_Hi_80,250GB_CI_Lo_95,250GB_CI_Hi_95,256GB_Forecast,256GB_CI_Lo_80,256GB_CI_Hi_80,256GB_CI_Lo_95,256GB_CI_Hi_95,2TB_Forecast,2TB_CI_Lo_80,2TB_CI_Hi_80,2TB_CI_Lo_95,2TB_CI_Hi_95,480GB_Forecast,480GB_CI_Lo_80,480GB_CI_Hi_80,480GB_CI_Lo_95,480GB_CI_Hi_95,4TB_Forecast,4TB_CI_Lo_80,4TB_CI_Hi_80,4TB_CI_Lo_95,4TB_CI_Hi_95,500GB_Forecast,500GB_CI_Lo_80,500GB_CI_Hi_80,500GB_CI_Lo_95,500GB_CI_Hi_95,512GB_Forecast,512GB_CI_Lo_80,512GB_CI_Hi_80,512GB_CI_Lo_95,512GB_CI_Hi_95
2026-05-01,105.6118168563011,94.3989999207845,116.8246337918177,88.44219092379132,122.78144278881089,243.37780290593696,212.81395719115557,273.94164862071835,196.57691415517795,290.17869165669595,87.44894252826224,75.67708575023437,99.2207993062901,69.42328683690707,105.4745982196174,121.95395073467067,108.58101278243065,135.3268886869107,101.47663949530313,142.43126197403822,72.95955971173677,66.08000934892205,79.8391100745515,62.42524821867672,83.49387120479682,408.40724202293086,360.1170309938475,456.6974530520142,334.462856384647,482.3516276612147,187.45770817466115,166.09174424476817,208.82367210455413,154.74107590701254,220.17434044230976,818.2755846691058,728.8943392998734,907.6568300383382,681.4105526974688,955.1406166407428,184.62493599003292,162.67828823157618,206.57158374848967,151.01913160989602,218.23074037016983,111.14303009887776,97.13463396781837,125.15142622993714,89.69267352319306,132.59338667456245
2026-06-01,102.7170054633591,86.85968768074481,118.57432324597339,78.43548760873097,126.99852331798724,249.66063791634912,206.43683278822647,292.88444304447177,183.47418631391133,315.8470895187869,89.40858977666423,72.76067026686357,106.05650928646489,63.91646302728198,114.90071652604648,124.36492704789092,105.45273682705918,143.27711726872263,95.40563577224233,153.3242183235395,72.19265226955375,62.46349884343241,81.92180569567509,57.29488608580545,87.09041845330204,424.24257789614654,355.9499065289581,492.535249263335,319.6694248651392,528.8157309271539,186.93887206397315,156.72283610114414,217.15490802680216,140.67056699589125,233.20717713205505,844.3421681343609,717.9379987113952,970.7463375573267,650.7857837054446,1037.8985525632772,196.1424706026944,165.10522369405976,227.17971751132905,148.61668627384762,243.66825493154118,111.07434598995695,91.26348219431797,130.88520978559592,80.73896080288476,141.40973117702913
2026-07-01,109.08707907877788,89.66591045049438,128.50824770706137,79.34841461671877,138.82574354083698,253.61965117619502,200.68151752349735,306.5577848288927,172.5581340205017,334.68116833188833,90.45715821936187,70.06770418039355,110.8466122583302,59.235806722191626,121.67850971653212,126.87420077404505,103.71159279429922,150.03680875379087,91.40645730505926,162.34194424303084,71.15958349739098,59.24385273576697,83.07531425901499,52.91362076865421,89.40554622612775,435.0198168148681,351.3787178042728,518.6609158254633,306.944383954894,563.0952496748421,188.64586436107203,151.6389292818134,225.65279944033065,131.97899502095726,245.3127337011868,857.0540976071652,702.2412393838744,1011.866955830456,619.9969084527511,1094.1112867615793,206.920567307421,168.90785833395628,244.93327628088574,148.71360669180316,265.1275279230389,110.53439404181883,86.27114021027268,134.79764787336498,73.38128661226379,147.68750147137388
2026-08-01,115.84778231738295,93.42214844634977,138.27341618841615,81.50853045236337,150.18703418240253,255.94585434271596,194.81816291315317,317.07354577227875,162.34407684119793,349.547631844234,91.9523974244946,68.40868386843889,115.49611098055033,55.901086041784275,128.00370880720493,128.7276056812043,101.98172977672424,155.47348158568434,87.77298320246922,169.68222815993937,69.95065434658771,56.19155362095826,83.70975507221716,48.88203136046761,91.01927733270782,442.15770913637573,345.57728707820905,538.7381311945423,294.26893785980803,590.0464804129434,187.401145149885,144.66921729009906,230.13307300967094,121.96788061458777,252.8344096851822,860.7671780121165,682.0046872736518,1039.529668750581,587.0371140688424,1134.4972419553906,217.3378916177482,173.4445961008347,261.2311871346617,150.1262828574744,284.549500378022,109.53938456637695,81.52259230425818,137.55617682849572,66.63867141500758,152.4400977177463
2026-09-01,120.5188122231142,95.44619133603821,145.59143311019017,82.1263614897791,158.9112629564493,257.13033348624134,188.78749681417452,325.47317015830816,152.480364832139,361.7803021403437,93.04998627846655,66.72731430140459,119.3726582555285,52.74339481359043,133.35657774334265,130.39839595779387,100.49559763769832,160.3011942778894,84.60973603014757,176.18705588544015,68.6720068240036,53.28886455811653,84.05514908989068,45.11657022936402,92.22744341864319,446.690901728707,338.71070721986655,554.6710962375474,281.3462288870451,612.0355745703689,185.6519851749895,137.87623742294028,233.42773292703873,112.49537142966412,258.8085989203149,860.2491949893084,660.3866544301166,1060.1117355485003,554.2096797580459,1166.288710220571,227.61980428879178,178.5456080226391,276.69400055494447,152.47494125624547,302.7646673213381,108.30043121359097,76.97670520879713,139.62415721838482,60.335975768750394,156.26488665843155
2026-10-01,125.33452412359432,97.86884405234092,152.8002041948477,83.27770151448755,167.3913467327011,257.5168476134785,182.6510210351139,332.3826741918431,142.8785506653577,372.1551445615993,93.88514179888169,65.05009936758981,122.72018423017357,49.731483075966,138.03880052179738,131.78155266408652,99.0246783191987,164.53842700897434,81.62258882347705,181.940516504696,67.43297474854484,50.581586699869874,84.2843627972198,41.6292867990113,93.23666269807838,449.3888665944597,331.10249000188503,567.6752431870344,268.2628524370797,630.5148807518398,183.78644684223264,131.45073735128443,236.12215633318084,103.64739168421822,263.92550200024704,855.904391254489,636.9659475253679,1074.8428349836101,520.6548992942724,1191.1538832147057,237.8730605271801,184.11497195436482,291.63114909999535,155.55598740005672,320.19013365430345,106.97954663605069,72.66612400017716,141.29296927192422,54.43711822486936,159.52197504723202
2026-11-01,130.8373184174827,101.17099330961241,160.50364352535297,85.41075809605633,176.26387873890906,257.3161860433113,176.45185117225253,338.18052091437005,133.4926732720026,381.13969881462,94.2262820675249,63.0808765633931,125.37168757165671,46.53487988932307,141.91768424572675,133.00306848602335,97.62160036609887,168.38453660594783,78.82519542738899,187.1809415446577,66.30853935503742,48.10695996308548,84.51011874698938,38.43737091111101,94.17970779896385,450.69171585812046,322.92782671633745,578.4556049999035,255.05326060976523,646.3301711064757,182.54538497171194,126.01635789203885,239.07441205138502,95.98531225596253,269.10545768746135,850.249291043905,613.7687439236727,1086.7298381641374,488.1384532660492,1212.3601288217608,248.30581314698208,190.24044106657234,306.3711852273918,159.39321214885467,337.2184141451095,105.63615034603761,68.57341791637509,142.69888277570013,48.88384131311688,162.38845937895834
2026-12-01,136.59220367844296,104.87756811321437,168.30683924367153,88.02916796918669,185.15523938769923,256.6198981134753,170.17228785723,343.0675083697206,124.2469949085997,388.99280131835087,94.6717554075239,61.3759163879226,127.9675944271252,43.68750190875941,145.6560089062884,134.04068584634334,96.21630540467987,171.8650662880068,76.12210329504616,191.95926839764053,65.3206459381377,45.86233908589503,84.77895279038037,35.52511357064111,95.11617830563429,450.95574807512764,314.3704053407507,587.5410908095046,241.80944201311294,660.1020541371423,181.34168989927025,120.90961797361226,241.77376182492824,88.80507976310645,273.87830003543405,844.7729454376192,591.9646065916877,1097.5812842835508,457.66017657978654,1231.8857142954519,259.0187259244424,196.9442321071731,321.09321974171166,163.9671572667488,354.07029458213594,104.33088408048327,64.70915648920531,143.95261167176125,43.6601137063389,165.00165445462764
2027-01-01,142.63350980029486,108.99505899374508,176.27196060684463,91.12463200276551,194.1423875978242,255.42772209207436,163.73618494773018,347.11925923641854,115.02505583979735,395.8303883443514,95.04511392300346,59.72954358891987,130.36068425708703,40.968146848937955,149.12208099706896,134.902346012006,94.78353215528593,175.0211598687261,73.4704122939034,196.33427973010862,64.43935086464782,43.800699776203636,85.07800195309201,32.836416385467665,96.04228534382798,450.4047997433466,305.53416665609655,595.2754328305966,228.571642828495,672.2379566581982,180.13009388389952,116.0322020942206,244.22798567357844,81.98019708095367,278.2799906868454,839.3502555717979,571.2065194641009,1107.493991679495,428.7551596568868,1249.9453514867091,270.09027552973146,204.25033225436118,335.93021880510173,169.27286238932072,370.9076886701422,103.04865455689743,61.02346616371927,145.0738429500756,38.69758482984338,167.39972428395149
2027-02-01,149.19387243452303,113.73583193178123,184.65191293726483,94.89874791469967,203.4889969543464,253.69005412423286,157.0386876115466,350.3414206369191,105.69264915168205,401.68745909678364,95.34121516374634,58.11533545588711,132.56709487160558,38.3390868610869,152.34334346640577,135.5590811629779,93.27013822579138,177.8480241001644,70.80413729041105,200.31402503554472,63.59880307288161,41.84375464854932,85.3538514972139,30.286385173122795,96.91122097264042,449.132540490338,296.4254849482511,601.8395960324249,215.29986169151738,682.9652192891585,178.87935726324412,111.31424683978017,246.44446768670807,75.42028192731495,282.3384325991733,834.3664019323732,551.7180864632213,1117.014717401525,401.5611688702344,1267.1716349945118,281.60059864394003,212.1992047217878,351.00199256609227,175.3297142006444,387.8714830872357,101.74163995320393,57.443201813165665,146.0400780932422,33.909656551270345,169.5736233551375
